experiment,variant,metric,value
core_adaptation,baseline,recall_mse,0.93023813
core_adaptation,alc,recall_mse,0.70052260
core_adaptation,alc_no_write,recall_mse,0.32959077
core_adaptation,baseline,recall_acc,0.03125000
core_adaptation,alc,recall_acc,0.06250000
core_adaptation,alc_no_write,recall_acc,0.06250000
stability,alc,nan_rate,0.00000000
stability,alc,slot_norm_init,0.00000000
stability,alc,slot_norm_final,0.59600484
stability,alc,slot_norm_max,0.74338293
persistence,alc,save_ok,1.00000000
persistence,alc,load_ok,1.00000000
persistence,alc,slot_max_abs_diff,0.00000000
persistence,alc,behavior_max_abs_diff,0.00000000
trainability,interface_trainable,loss_before,0.09013489
trainability,interface_trainable,loss_after,0.07546594
trainability,interface_frozen,loss_eval,0.09013489
language_benchmark,baseline,recall_mse,0.98919368
language_benchmark,alc,recall_mse,0.88250667
language_benchmark,alc_no_write,recall_mse,0.32759646
language_benchmark,baseline,recall_acc,0.00000000
language_benchmark,alc,recall_acc,0.01041667
language_benchmark,alc_no_write,recall_acc,0.02083333
sessionkv,baseline,delayed_acc_delay_0_facts_1,0.12500000
sessionkv,alc_no_write,delayed_acc_delay_0_facts_1,0.12500000
sessionkv,alc,delayed_acc_delay_0_facts_1,1.00000000
sessionkv,baseline,delayed_acc_delay_2_facts_1,0.12500000
sessionkv,alc_no_write,delayed_acc_delay_2_facts_1,0.12500000
sessionkv,alc,delayed_acc_delay_2_facts_1,1.00000000
sessionkv,baseline,delayed_acc_delay_6_facts_1,0.12500000
sessionkv,alc_no_write,delayed_acc_delay_6_facts_1,0.12500000
sessionkv,alc,delayed_acc_delay_6_facts_1,1.00000000
sessionkv,baseline,delayed_acc_delay_12_facts_1,0.12500000
sessionkv,alc_no_write,delayed_acc_delay_12_facts_1,0.12500000
sessionkv,alc,delayed_acc_delay_12_facts_1,1.00000000
sessionkv,baseline,delayed_acc_delay_0_facts_4,0.12500000
sessionkv,alc_no_write,delayed_acc_delay_0_facts_4,0.12500000
sessionkv,alc,delayed_acc_delay_0_facts_4,1.00000000
sessionkv,baseline,delayed_acc_delay_2_facts_4,0.12500000
sessionkv,alc_no_write,delayed_acc_delay_2_facts_4,0.12500000
sessionkv,alc,delayed_acc_delay_2_facts_4,0.87500000
sessionkv,baseline,delayed_acc_delay_6_facts_4,0.12500000
sessionkv,alc_no_write,delayed_acc_delay_6_facts_4,0.12500000
sessionkv,alc,delayed_acc_delay_6_facts_4,0.71875000
sessionkv,baseline,delayed_acc_delay_12_facts_4,0.12500000
sessionkv,alc_no_write,delayed_acc_delay_12_facts_4,0.12500000
sessionkv,alc,delayed_acc_delay_12_facts_4,0.46875000
sessionkv,baseline,delayed_acc_delay_0_facts_8,0.12500000
sessionkv,alc_no_write,delayed_acc_delay_0_facts_8,0.12500000
sessionkv,alc,delayed_acc_delay_0_facts_8,1.00000000
sessionkv,baseline,delayed_acc_delay_2_facts_8,0.12500000
sessionkv,alc_no_write,delayed_acc_delay_2_facts_8,0.12500000
sessionkv,alc,delayed_acc_delay_2_facts_8,0.90625000
sessionkv,baseline,delayed_acc_delay_6_facts_8,0.12500000
sessionkv,alc_no_write,delayed_acc_delay_6_facts_8,0.12500000
sessionkv,alc,delayed_acc_delay_6_facts_8,0.71875000
sessionkv,baseline,delayed_acc_delay_12_facts_8,0.12500000
sessionkv,alc_no_write,delayed_acc_delay_12_facts_8,0.12500000
sessionkv,alc,delayed_acc_delay_12_facts_8,0.43750000
sessionkv,baseline,acc_distractors_0,0.12500000
sessionkv,alc_no_write,acc_distractors_0,0.12500000
sessionkv,alc,acc_distractors_0,1.00000000
sessionkv,baseline,acc_distractors_4,0.12500000
sessionkv,alc_no_write,acc_distractors_4,0.12500000
sessionkv,alc,acc_distractors_4,0.84375000
sessionkv,baseline,acc_distractors_12,0.12500000
sessionkv,alc_no_write,acc_distractors_12,0.12500000
sessionkv,alc,acc_distractors_12,0.34375000
sessionkv,baseline,acc_distractors_24,0.12500000
sessionkv,alc_no_write,acc_distractors_24,0.12500000
sessionkv,alc,acc_distractors_24,0.12500000
sessionkv,baseline,overwrite_acc,0.12500000
sessionkv,alc_no_write,overwrite_acc,0.12500000
sessionkv,alc,overwrite_acc,0.37500000
sessionkv,baseline,stale_confusion_rate,0.12500000
sessionkv,alc_no_write,stale_confusion_rate,0.12500000
sessionkv,alc,stale_confusion_rate,0.62500000
sessionkv,baseline,persistence_recall_acc,0.00000000
sessionkv,alc_no_write,persistence_recall_acc,0.00000000
sessionkv,alc,persistence_recall_acc,1.00000000
sessionkv,baseline,persistence_save_ok,1.00000000
sessionkv,baseline,persistence_load_ok,1.00000000
sessionkv,alc_no_write,persistence_save_ok,1.00000000
sessionkv,alc_no_write,persistence_load_ok,1.00000000
sessionkv,alc,persistence_save_ok,1.00000000
sessionkv,alc,persistence_load_ok,1.00000000
sessionkv,alc,persistence_slot_max_abs_diff,0.00000000
sessionkv,alc,persistence_behavior_max_abs_diff,0.00000000
tinyqa,baseline,qa_acc_delay_0,0.03333334
tinyqa,alc,qa_acc_delay_0,0.03333334
tinyqa,alc_no_write,qa_acc_delay_0,0.03333334
tinyqa,baseline,qa_acc_delay_4,0.03333334
tinyqa,alc,qa_acc_delay_4,0.06666667
tinyqa,alc_no_write,qa_acc_delay_4,0.03333334
tinyqa,baseline,delayed_qa_acc,0.03333334
tinyqa,alc,delayed_qa_acc,0.06666667
tinyqa,alc_no_write,delayed_qa_acc,0.03333334
tinyqa,baseline,qa_acc_delay_8,0.03333334
tinyqa,alc,qa_acc_delay_8,0.05000000
tinyqa,alc_no_write,qa_acc_delay_8,0.03333334
tinyqa,baseline,delayed_qa_acc,0.03333334
tinyqa,alc,delayed_qa_acc,0.05000000
tinyqa,alc_no_write,delayed_qa_acc,0.03333334
tinyqa,baseline,qa_acc_mean,0.03333334
tinyqa,alc,qa_acc_mean,0.05000000
tinyqa,alc_no_write,qa_acc_mean,0.03333334
tinyqa,dataset,num_samples,60.00000000
ablation,S4_eta0.05_hard_top1_additive,recall_mse,0.32663679
ablation,S4_eta0.05_hard_top1_gated,recall_mse,0.30526063
ablation,S4_eta0.05_softmax_additive,recall_mse,0.32096878
ablation,S4_eta0.05_softmax_gated,recall_mse,0.30294472
ablation,S4_eta0.05_topk_softmax_additive,recall_mse,0.28835648
ablation,S4_eta0.05_topk_softmax_gated,recall_mse,0.33865961
ablation,S4_eta0.20_hard_top1_additive,recall_mse,0.23185077
ablation,S4_eta0.20_hard_top1_gated,recall_mse,0.28668392
ablation,S4_eta0.20_softmax_additive,recall_mse,0.28683728
ablation,S4_eta0.20_softmax_gated,recall_mse,0.29852840
ablation,S4_eta0.20_topk_softmax_additive,recall_mse,0.31253794
ablation,S4_eta0.20_topk_softmax_gated,recall_mse,0.32603657
ablation,S4_eta0.50_hard_top1_additive,recall_mse,0.39289367
ablation,S4_eta0.50_hard_top1_gated,recall_mse,0.25353372
ablation,S4_eta0.50_softmax_additive,recall_mse,0.31656629
ablation,S4_eta0.50_softmax_gated,recall_mse,0.32092404
ablation,S4_eta0.50_topk_softmax_additive,recall_mse,0.29533580
ablation,S4_eta0.50_topk_softmax_gated,recall_mse,0.24125023
ablation,S8_eta0.05_hard_top1_additive,recall_mse,0.30404848
ablation,S8_eta0.05_hard_top1_gated,recall_mse,0.35849044
ablation,S8_eta0.05_softmax_additive,recall_mse,0.26888287
ablation,S8_eta0.05_softmax_gated,recall_mse,0.35834977
ablation,S8_eta0.05_topk_softmax_additive,recall_mse,0.36376384
ablation,S8_eta0.05_topk_softmax_gated,recall_mse,0.26592463
ablation,S8_eta0.20_hard_top1_additive,recall_mse,0.25421602
ablation,S8_eta0.20_hard_top1_gated,recall_mse,0.28409100
ablation,S8_eta0.20_softmax_additive,recall_mse,0.32064754
ablation,S8_eta0.20_softmax_gated,recall_mse,0.29788843
ablation,S8_eta0.20_topk_softmax_additive,recall_mse,0.31856608
ablation,S8_eta0.20_topk_softmax_gated,recall_mse,0.28997120
ablation,S8_eta0.50_hard_top1_additive,recall_mse,0.35293257
ablation,S8_eta0.50_hard_top1_gated,recall_mse,0.26018447
ablation,S8_eta0.50_softmax_additive,recall_mse,0.31994298
ablation,S8_eta0.50_softmax_gated,recall_mse,0.35849184
ablation,S8_eta0.50_topk_softmax_additive,recall_mse,0.25539204
ablation,S8_eta0.50_topk_softmax_gated,recall_mse,0.32118678
ablation,S16_eta0.05_hard_top1_additive,recall_mse,0.33501026
ablation,S16_eta0.05_hard_top1_gated,recall_mse,0.32527143
ablation,S16_eta0.05_softmax_additive,recall_mse,0.31242421
ablation,S16_eta0.05_softmax_gated,recall_mse,0.34541467
